Cte;Data CT-e;Nota fiscal;Data.nf;Val.NF (BI AE);Coleta;Remetente;UF Rem.;CGC REM;Modalidade;Nome do DN;CGC DEST;N  DN;Cidade;UF Dest.;Qtde. Vol. da NF (BI J);P. Real do CTe (BI AF);P. Cub. do CTe (BI AG);Frete do CTe (BI AI);Prazo BID;PREVISAO DE ENTREGA;DATA DA ENTREGA;ATRASO;DIAS DE ATRASO;Justificado?;Cod;Justificativa;Evidenciado;Transp.;Ano;M s;Qtde. NFs do CTe;Staus;Data coleta transportador;POSSUE OCORRENCIA?;OBSERVAÇÃO;NOVA DATA PREV ENTREGA;Região;Transit Transportador2;AGING EMISSÃO NF;AGING EMISSÃO CTE;CTE 24 HRS;OTD DO CLIENTE (previsão X DATA DE ENTREGA);AGING DA PREVISÃO;WEEK DA PREVISÃO (SEMANA DO ANO);WEEK DA ENTREGA (SEMANA DO ANO);OTIF;TRANSPORTADORA REAL
1369;21/09/2026;278952/39;21/09/2026;5020,54;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;ICAVEL VEICULOS LTDA;84938430000300;;FOZ DO IGUACU;PR;1;43,5;331,58;666,54;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1371;21/09/2026;278739/39;21/09/2026;4265,44;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;L F CAMINHOES LTDA;79281481000100;;CHAPECO;SC;1;43,5;331,58;825,74;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1380;21/09/2026;278718/39;19/09/2026;10237,04;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;RF SUL TUBARAO COMERCIO DE CAMINHOES LT;27320673000185;;TUBARAO;SC;2;96,6;663,16;1526,98;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1384;21/09/2026;278728/39;19/09/2026;8530,87;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;SULPASSO COMERCIO DE CAMINHOES LTDA;34098668000135;;PASSO FUNDO;RS;2;87;663,16;1540,99;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1392;22/09/2026;279648/39;21/09/2026;30732,43;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;ESTERILIZA TIMON CENTRAL DE SERVICOS DE;47984020000108;;TIMON;MA;1;219;563,33;2260,26;14;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;14;3;2;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1376;21/09/2026;278726/39;19/09/2026;5237,53;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;MONVEP CAMINHOES E ONIBUS LTDA;11308355000169;;MONTES CLAROS;MG;1;48;331,58;335,54;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;6;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1381;21/09/2026;278953/39;21/09/2026;6024,64;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;SERVOPA CAMINHOES LTDA;298749001210;;CURITIBA;PR;1;48,3;331,58;569,24;4;25/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;4;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;1;39;;PENDENTE DE VALIDAÇÃO;
1388;22/09/2026;279670/39;22/09/2026;4413,67;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA;251951000990;;MURIAE;MG;9;24,8;111,35;136,68;6;28/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;6;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;4;40;;PENDENTE DE VALIDAÇÃO;
1390;22/09/2026;279114/39;21/09/2026;13232,24;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA.;251951000133;;SALVADOR;BA;2;150,39999;1130,98;2267,13;9;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;9;3;2;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1391;22/09/2026;279663/39;22/09/2026;2157,79;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;DIVISA DIVINOPOLIS VEICULOS LTDA;20142097000346;;ARCOS;MG;5;15;61,86;84,02;5;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;5;2;2;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1368;21/09/2026;278980/39;21/09/2026;7265;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;GRANFER CAMINHOES E ONIBUS LTDA;3727516000392;;TRES LAGOAS;MS;7;65,2;398,01;773,08;7;28/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;CENTRO-OESTE;7;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;4;40;;PENDENTE DE VALIDAÇÃO;
1358;21/09/2026;278721/39;19/09/2026;11494,28;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;ABOLICAO CAMINHOES E ONIBUS LTDA.;31306830000175;;DUQUE DE CAXIAS;RJ;1;77,4;253,4;311,23;5;26/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FABIANO MARTINS VIEIRA;2026;9;1;;;;;;SUDESTE;5;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;2;39;;PENDENTE DE VALIDAÇÃO;
1362;21/09/2026;278985/39;21/09/2026;12796,31;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;AUTOMOB PARTICIPACOES S A;35654688000612;;CAXIAS DO SUL;RS;4;90,6;286,61;763,57;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;6;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1414;24/09/2026;278786/39;21/09/2026;508,93;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;BRAVO CAMINHOES E EMPREENDIMENTOS LTDA;251951000303;;FEIRA DE SANTANA;BA;1;2,82;11,0712;216,06;12;06/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;12;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;12;41;;PENDENTE DE VALIDAÇÃO;
1417;24/09/2026;280254/39;23/09/2026;21577,87;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;GAPLAN CAMINHOES LESTE LTDA.;65409872000404;;CONSELHEIRO LAFAIETE;MG;1;120;1453,54;1384,14;5;29/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUDESTE;5;1;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;5;40;;PENDENTE DE VALIDAÇÃO;
